id,firstName,lastName,birthday
52,Allen,Tremayne,1905-05-27 00:00:00
53,Allison,Jim,1905-04-26 00:00:00
54,Allred,John,1905-05-27 00:00:00
55,Alston,Mack,1905-04-30 00:00:00
56,Alstott,Mike,1905-05-26 00:00:00
57,Alston,Richard,1905-06-02 00:00:00
58,Alworth,Lance,1905-04-23 00:00:00
59,Amberg,John,1905-04-12 00:00:00
60,Ameche,Alan,1905-04-16 00:00:00
61,Ames,Dave,1905-04-20 00:00:00
62,Amey,Otis,1905-06-22 00:00:00
63,Amos,Willie,1905-06-22 00:00:00
64,Amundson,George,1905-05-04 00:00:00
65,Anderson,Alfred,1905-05-14 00:00:00
66,Anderson,Bill,1905-04-19 00:00:00
67,Anderson,Billy,1905-04-12 00:00:00
68,Anderson,Bobby,1905-04-30 00:00:00
69,Anderson,Bob,1905-04-21 00:00:00
70,Anderson,Chet,1905-04-28 00:00:00
71,Anderson,Cliff,1905-04-12 00:00:00
72,Anderson,Courtney,1905-06-02 00:00:00
73,Anderson,Damien,1905-06-01 00:00:00
74,Anderson,David,1905-06-05 00:00:00
75,Anderson,Derek,1905-06-05 00:00:00
76,Anderson,Donny,1905-04-26 00:00:00
77,Anderson,Flipper,1905-05-18 00:00:00
78,Anderson,Gary,1905-05-14 00:00:00
79,Anderson,Jamal,1905-05-25 00:00:00
80,Anderson,Jason,1905-06-22 00:00:00
81,Anderson,Jason,1905-06-02 00:00:00
82,Anderson,Jesse,1905-05-19 00:00:00
83,Anderson,Ken,1905-05-02 00:00:00
84,Anders,Kimble,1905-05-19 00:00:00
85,Anderson,Max,1905-04-28 00:00:00
86,Anderson,Mike,1905-05-26 00:00:00
87,Anderson,Neal,1905-05-17 00:00:00
88,Anderson,Ottis,1905-05-10 00:00:00
89,Anderson,Ralph,1905-04-20 00:00:00
90,Anderson,Richie,1905-05-24 00:00:00
91,Anderson,Ronnie,1905-05-28 00:00:00
92,Anderson,Scotty,1905-06-01 00:00:00
93,Anderson,Stevie,1905-05-23 00:00:00
94,Anderson,Taz,1905-04-21 00:00:00
95,Andrews,John,1905-05-01 00:00:00
96,Andrews,William,1905-05-08 00:00:00
97,Anelli,Mark,1905-06-01 00:00:00
98,Angsman,Elmer,1905-04-08 00:00:00
99,Angulo,Richard,1905-06-02 00:00:00
100,Anthony,Reidel,1905-05-29 00:00:00
101,Anthony,Tyrone,1905-05-15 00:00:00
102,Apple,Jim,1905-04-21 00:00:00
103,Arbanas,Fred,1905-04-22 00:00:00
104,Arbuckle,Charles,1905-05-21 00:00:00
105,Archer,David,1905-05-15 00:00:00
106,Archie,Mike,1905-05-25 00:00:00
107,Arenas,Joe,1905-04-08 00:00:00
108,Armour,Justin,1905-05-26 00:00:00
109,Armstrong,Adger,1905-05-10 00:00:00
110,Armstrong,Derick,1905-06-01 00:00:00
111,Armstrong,Neill,1905-04-09 00:00:00
112,Armstrong,Otis,1905-05-03 00:00:00
113,Armstrong,Tyji,1905-05-23 00:00:00
114,Arnett,Jon,1905-04-17 00:00:00
115,Arnold,Jahine,1905-05-26 00:00:00
116,Arnold,Walt,1905-05-11 00:00:00
117,Arrington,J.J.,1905-06-05 00:00:00
118,Arrington,Rick,1905-04-30 00:00:00
119,Arthur,Gary,1905-05-01 00:00:00
120,Asad,Doug,1905-04-21 00:00:00
121,Asbury,Willie,1905-04-26 00:00:00
122,Asher,Jamie,1905-05-25 00:00:00
123,Ashton,Josh,1905-05-02 00:00:00
124,Aska,Joe,1905-05-25 00:00:00
125,Askew,B.J.,1905-06-02 00:00:00
126,Atchason,Jack,1905-04-19 00:00:00
127,Atkeson,Dale,1905-04-13 00:00:00
128,Atkins,Dave,1905-05-02 00:00:00
129,Atkins,Pervis,1905-04-18 00:00:00
130,Atkins,Steve,1905-05-09 00:00:00
131,Auer,Joe,1905-04-24 00:00:00
132,Augustyniak,Mike,1905-05-09 00:00:00
133,Austin,Cliff,1905-05-13 00:00:00
134,Austin,Miles,1905-06-06 00:00:00
135,Autry,Darnell,1905-05-29 00:00:00
136,Avant,Jason,1905-06-05 00:00:00
137,Avellini,Bob,1905-05-06 00:00:00
138,Avery,John,1905-05-29 00:00:00
139,Avery,Steve,1905-05-19 00:00:00
140,Avinger,Butch,1905-04-11 00:00:00
141,Awalt,Rob,1905-05-17 00:00:00
142,Ayanbadejo,Obafemi,1905-05-28 00:00:00
143,Babcock,Harry,1905-04-13 00:00:00
144,Baber,Billy,1905-06-01 00:00:00
145,Badanjek,Rick,1905-05-15 00:00:00
146,Baggett,Billy,1905-04-12 00:00:00
147,Bahnsen,Ken,1905-04-13 00:00:00
148,Bailey,Aaron,1905-05-24 00:00:00
149,Bailey,Byron,1905-04-13 00:00:00
150,Bailey,Harold,1905-05-10 00:00:00
151,Bailey,Henry,1905-05-26 00:00:00
152,Bailey,Johnny,1905-05-20 00:00:00
153,Bailey,Karsten,1905-05-30 00:00:00
154,Bailey,Mark,1905-05-07 00:00:00
155,Bailey,Stacey,1905-05-13 00:00:00
156,Bailey,Tom,1905-05-02 00:00:00
157,Bailey,Victor,1905-05-23 00:00:00
158,Bajema,Billy,1905-06-04 00:00:00
159,Baker,Art,1905-04-20 00:00:00
160,Baker,Chris,1905-06-01 00:00:00
161,Baker,Ed,1905-05-01 00:00:00
162,Baker,Eugene,1905-05-29 00:00:00
163,Baker,Jeff,1905-05-28 00:00:00
164,Baker,Melvin,1905-05-03 00:00:00
165,Baker,Robert,1905-05-29 00:00:00
166,Baker,Stephen,1905-05-17 00:00:00
167,Baker,Terry,1905-04-24 00:00:00
168,Baker,Tony,1905-04-28 00:00:00
169,Baldwin,Al,1905-04-06 00:00:00
170,Baldacci,Lou,1905-04-17 00:00:00
171,Baldwin,Randy,1905-05-20 00:00:00
172,Ball,Eric,1905-05-19 00:00:00
173,Ballman,Gary,1905-04-23 00:00:00
174,Ballard,Jim,1905-05-25 00:00:00
175,Banaszak,Pete,1905-04-27 00:00:00
176,Banks,Chuck,1905-05-17 00:00:00
177,Banks,Estes,1905-04-28 00:00:00
178,Banks,Fred,1905-05-15 00:00:00
179,Banks,Gordon,1905-05-11 00:00:00
180,Banks,Mike,1905-06-01 00:00:00
181,Banks,Tavian,1905-05-27 00:00:00
182,Banks,Tony,1905-05-26 00:00:00
183,Bankston,Warren,1905-04-30 00:00:00
184,Bannister,Alex,1905-06-01 00:00:00
185,Banta,Bradford,1905-05-23 00:00:00
186,Barber,Kantroy,1905-05-26 00:00:00
187,Barber,Marion,1905-05-12 00:00:00
188,Barber III,Marion,1905-06-05 00:00:00
189,Barber,Michael,1905-05-20 00:00:00
190,Barber,Mike,1905-05-06 00:00:00
191,Barber,Tiki,1905-05-28 00:00:00
192,Barker,Ed,1905-04-14 00:00:00
193,Barkum,Jerome,1905-05-03 00:00:00
194,Barksdale,Rod,1905-05-15 00:00:00
195,Barlow,Kevan,1905-06-01 00:00:00
196,Barlow,Reggie,1905-05-26 00:00:00
197,Barnes,Al,1905-05-02 00:00:00
198,Barnes,Billy,1905-04-18 00:00:00
199,Barnett,Buster,1905-05-11 00:00:00
200,Barnes,Charlie,1905-04-22 00:00:00
201,Barnes,Darian,1905-06-02 00:00:00
202,Barney,Eppie,1905-04-27 00:00:00
203,Barnett,Fred,1905-05-19 00:00:00
204,Barnes,Gary,1905-04-22 00:00:00
205,Barnes,Johnnie,1905-05-21 00:00:00
206,Barnes,Joe,1905-05-04 00:00:00
207,Barnes,Larry,1905-05-07 00:00:00
208,Barnes,Marlon,1905-05-29 00:00:00
209,Barnwell,Malcolm,1905-05-11 00:00:00
210,Barnes,Pat,1905-05-28 00:00:00
211,Barnett,Tim,1905-05-21 00:00:00
212,Barnett,Tom,1905-04-20 00:00:00
213,Barrett,Jan,1905-04-22 00:00:00
214,Barry,Odell,1905-04-24 00:00:00
215,Barry,Paul,1905-04-09 00:00:00
216,Barrett,Reggie,1905-05-22 00:00:00
217,Barr,Terry,1905-04-18 00:00:00
218,Barrington,Tom,1905-04-27 00:00:00
219,Barton,Don,1905-04-13 00:00:00
220,Bartos,Joe,1905-04-09 00:00:00
221,Bartrum,Mike,1905-05-23 00:00:00
222,Bartkowski,Steve,1905-05-05 00:00:00
223,Bartalo,Steve,1905-05-17 00:00:00
224,Basanez,Brett,1905-06-05 00:00:00
225,Baschnagel,Brian,1905-05-07 00:00:00
226,Baskett,Hank,1905-06-04 00:00:00
227,Basnight,Michael,1905-05-30 00:00:00
228,Bass,Dick,1905-04-20 00:00:00
229,Bass,Don,1905-05-09 00:00:00
230,Bass,Glenn,1905-04-22 00:00:00
231,Bassett,Mo,1905-04-14 00:00:00
232,Batch,Charlie,1905-05-27 00:00:00
233,Bates,D'Wayne,1905-05-28 00:00:00
234,Bates,Mario,1905-05-26 00:00:00
235,Bates,Michael,1905-05-22 00:00:00
236,Battle,Arnaz,1905-06-02 00:00:00
237,Battaglia,Marco,1905-05-26 00:00:00
238,Batteaux,Patrick,1905-05-31 00:00:00
239,Baty,Greg,1905-05-17 00:00:00
240,Bauer,Hank,1905-05-07 00:00:00
241,Baugh,Sammy,1905-03-28 00:00:00
242,Bavaro,Mark,1905-05-16 00:00:00
243,Bawel,Bibbles,1905-04-13 00:00:00
244,Baxter,Brad,1905-05-20 00:00:00
245,Baxter,Fred,1905-05-24 00:00:00
246,Baxter,Jarrod,1905-06-01 00:00:00
247,Baynham,Craig,1905-04-27 00:00:00
248,Beach,Pat,1905-05-12 00:00:00
249,Beach,Sanjay,1905-05-19 00:00:00
250,Beals,Alyn,1905-04-04 00:00:00
251,Bean,Bubba,1905-05-07 00:00:00
252,Beasley,Fred,1905-05-27 00:00:00
253,Beasley,John,1905-04-28 00:00:00
254,Beasley,Terry,1905-05-03 00:00:00
255,Beathard,Pete,1905-04-25 00:00:00
256,Beban,Gary,1905-04-29 00:00:00
257,Becht,Anthony,1905-05-30 00:00:00
258,Bech,Brett,1905-05-24 00:00:00
259,Beckman,Brad,1905-05-17 00:00:00
260,Beckman,Ed,1905-05-08 00:00:00
261,Bedsole,Hal,1905-04-24 00:00:00
262,Beebe,Don,1905-05-17 00:00:00
263,Beer,Tom,1905-04-27 00:00:00
264,Beirne,Jim,1905-04-29 00:00:00
265,Bell,Eddie,1905-04-29 00:00:00
266,Bell,Gordon,1905-05-06 00:00:00
267,Bell,Greg,1905-05-15 00:00:00
268,Bell,Henry,1905-04-20 00:00:00
269,Bell,Jerry,1905-05-12 00:00:00
270,Bellino,Joe,1905-04-21 00:00:00
271,Bell,Kerwin,1905-05-18 00:00:00
272,Bell,Ken,1905-05-17 00:00:00
273,Bellini,Mark,1905-05-17 00:00:00
274,Bell,Mike,1905-06-05 00:00:00
275,Bell,Nick,1905-05-21 00:00:00
276,Bell,Richard,1905-05-20 00:00:00
277,Bell,Ricky,1905-05-08 00:00:00
278,Bellamy,Ronald,1905-06-03 00:00:00
279,Bell,Tatum,1905-06-03 00:00:00
280,Bell,Theo,1905-05-06 00:00:00
281,Belton,Horace,1905-05-08 00:00:00
282,Belton,Willie,1905-05-01 00:00:00
283,Bendross,Jesse,1905-05-15 00:00:00
284,Bender,Wes,1905-05-23 00:00:00
285,Benjamin,Guy,1905-05-08 00:00:00
286,Benjamin,Tony,1905-05-08 00:00:00
287,Bennett,Brandon,1905-05-26 00:00:00
288,Bennett,Donnell,1905-05-25 00:00:00
289,Bennett,Drew,1905-05-31 00:00:00
290,Bennett,Edgar,1905-05-22 00:00:00
291,Benners,Fred,1905-04-13 00:00:00
292,Bennett,Michael,1905-05-31 00:00:00
293,Bennett,Sean,1905-05-28 00:00:00
294,Bennett,Woody,1905-05-08 00:00:00
295,Benson,Cedric,1905-06-04 00:00:00
296,Benson,Cliff,1905-05-14 00:00:00
297,Bentley,Albert,1905-05-13 00:00:00
298,Benton,Jim,1905-03-30 00:00:00
299,Bergen,Adam,1905-06-05 00:00:00
300,Berlin,Brock,1905-06-03 00:00:00
301,Berlin,Eddie,1905-05-31 00:00:00
302,Bernet,Ed,1905-04-16 00:00:00
303,Bernard,Karl,1905-05-17 00:00:00
304,Berns,Rick,1905-05-09 00:00:00
305,Bernstine,Rod,1905-05-18 00:00:00
306,Berrian,Bernard,1905-06-02 00:00:00
307,Berry,Bob,1905-04-25 00:00:00
308,Berry,Raymond,1905-04-16 00:00:00
309,Berry,Wayne,1905-04-14 00:00:00
310,Bertelsen,Jim,1905-05-03 00:00:00
311,Berton,Sean,1905-06-01 00:00:00
312,Berzinski,Will,1905-04-17 00:00:00
313,Betterson,DeWhitt,1905-06-22 00:00:00
314,Betterson,James,1905-05-07 00:00:00
315,Bettis,Jerome,1905-05-25 00:00:00
316,Betts,Ladell,1905-06-01 00:00:00
317,Beuerlein,Steve,1905-05-18 00:00:00
318,Beutjer,Jon,1905-06-02 00:00:00
319,Beverly,Eric,1905-05-27 00:00:00
320,Biakabutuka,Tim,1905-05-27 00:00:00
321,Bickerstaff,Erik,1905-06-02 00:00:00
322,Biddle,Taye,1905-06-05 00:00:00
323,Bielski,Dick,1905-04-15 00:00:00
324,Bieniemy,Eric,1905-05-22 00:00:00
325,Bighead,Jack,1905-04-13 00:00:00
326,Biletnikoff,Fred,1905-04-26 00:00:00
327,Bingham,Don,1905-04-12 00:00:00
328,Birden,J.J.,1905-05-18 00:00:00
329,Birmingham,DeCori,1905-06-04 00:00:00
330,Biscaha,Joe,1905-04-20 00:00:00
331,Bishop,Harold,1905-05-23 00:00:00
332,Bishop,Michael,1905-05-29 00:00:00
333,Bivins,Charlie,1905-04-21 00:00:00
334,Bjornson,Eric,1905-05-24 00:00:00
335,Bjorklund,Hank,1905-05-03 00:00:00
336,Black,Avion,1905-05-30 00:00:00
337,Blackledge,Todd,1905-05-14 00:00:00
338,Blackwell,Will,1905-05-28 00:00:00
339,Blades,Brian,1905-05-18 00:00:00
340,Blair,Michael,1905-05-27 00:00:00
341,Blakley,Dwayne,1905-06-01 00:00:00
342,Blake,Jeff,1905-05-23 00:00:00
343,Blake,Ricky,1905-05-20 00:00:00
344,Bland,Carl,1905-05-14 00:00:00
345,Blankenship,Caleb,1905-06-22 00:00:00
346,Blanda,George,1905-04-10 00:00:00
347,Blanks,Sid,1905-04-23 00:00:00
348,Bland,Tony,1905-05-25 00:00:00
349,Blaylock,Derrick,1905-06-01 00:00:00
350,Bledsoe,Drew,1905-05-25 00:00:00
351,Bleier,Rocky,1905-04-29 00:00:00
352,Bligen,Dennis,1905-05-15 00:00:00
353,Blizzard,Bobby,1905-06-02 00:00:00
354,Blount,Eric,1905-05-23 00:00:00
355,Blount,Jeb,1905-05-07 00:00:00
356,Blue,Luther,1905-05-07 00:00:00
357,Blundin,Matt,1905-05-22 00:00:00
358,Blye,Ronnie,1905-04-26 00:00:00
359,Bodiford,Shaun,1905-06-04 00:00:00
360,Boerigter,Marc,1905-05-31 00:00:00
361,Bohling,Dewey,1905-04-21 00:00:00
362,Boldin,Anquan,1905-06-02 00:00:00
363,Bollinger,Brooks,1905-06-01 00:00:00
364,Boller,Kyle,1905-06-03 00:00:00
365,Bolton,Andy,1905-05-07 00:00:00
366,Bonner,Glenn,1905-05-05 00:00:00
367,Bono,Steve,1905-05-15 00:00:00
368,Booker,Marty,1905-05-29 00:00:00
369,Boozer,Emerson,1905-04-26 00:00:00
370,Boryla,Mike,1905-05-04 00:00:00
371,Boso,Cap,1905-05-15 00:00:00
372,Bosseler,Don,1905-04-19 00:00:00
373,Boston,David,1905-05-31 00:00:00
374,Bostic,James,1905-05-25 00:00:00
375,Bouggess,Lee,1905-05-01 00:00:00
376,Bouman,Todd,1905-05-25 00:00:00
377,Boutwell,Tommy,1905-04-29 00:00:00
378,Bouza,Matt,1905-05-11 00:00:00
379,Bowdell,Gordon,1905-05-01 00:00:00
380,Bowers,R.J.,1905-05-27 00:00:00
381,Bowie,Larry,1905-05-26 00:00:00
382,Bowman,Bill,1905-04-14 00:00:00
383,Bownes,Fabien,1905-05-25 00:00:00
384,Box,Cloyce,1905-04-06 00:00:00
385,Boyd,Bob,1905-04-11 00:00:00
386,Boyd,Elmo,1905-05-07 00:00:00
387,Boydston,Max,1905-04-15 00:00:00
388,Boyd,Shane,1905-06-22 00:00:00
389,Boyd,Tommie,1905-05-24 00:00:00
390,Boyer,Mark,1905-05-15 00:00:00
391,Boykin,Greg,1905-05-06 00:00:00
392,Boylan,Jim,1905-04-22 00:00:00
393,Brackins,Larry,1905-06-04 00:00:00
394,Bradley,Chuck,1905-05-03 00:00:00
395,Bradford,Corey,1905-05-28 00:00:00
396,Bradley,Freddie,1905-05-23 00:00:00
397,Brady,Kyle,1905-05-25 00:00:00
398,Bradshaw,Littlejohn,1905-06-22 00:00:00
399,Bradley,Mark,1905-06-04 00:00:00
400,Bradshaw,Morris,1905-05-05 00:00:00
401,Bradshaw,Terry,1905-05-01 00:00:00
402,Brady,Tom,1905-05-30 00:00:00
403,Bragg,Craig,1905-06-04 00:00:00
404,Bragg,Michael,1905-06-03 00:00:00
405,Brake,Mike,1905-06-02 00:00:00
406,Bramlet,Casey,1905-06-03 00:00:00
407,Brammer,Mark,1905-05-11 00:00:00
408,Brantley,Chris,1905-05-23 00:00:00
409,Branch,Cliff,1905-05-01 00:00:00
410,Branch,Deion,1905-06-01 00:00:00
411,Branch,Jamaal,1905-06-22 00:00:00
412,Branch,Reggie,1905-05-15 00:00:00
413,Bratton,Mel,1905-05-18 00:00:00
414,Bratkowski,Zeke,1905-04-14 00:00:00
415,Braxton,Hez,1905-04-19 00:00:00
416,Braxton,Jim,1905-05-02 00:00:00
417,Brazzell,Chris,1905-05-29 00:00:00
418,Breaux,Don,1905-04-23 00:00:00
419,Brees,Drew,1905-06-01 00:00:00
420,Brennan,Brian,1905-05-15 00:00:00
421,Brenner,Hoby,1905-05-12 00:00:00
422,Brewer,Chris,1905-05-15 00:00:00
423,Brewer,Johnny,1905-04-20 00:00:00
424,Brewster,Pete,1905-04-13 00:00:00
425,Briggs,Bob,1905-04-24 00:00:00
426,Brigham,Jeremy,1905-05-28 00:00:00
427,Bright,Leon,1905-05-08 00:00:00
428,Brinson,Dana,1905-05-18 00:00:00
429,Brinson,Larry,1905-05-07 00:00:00
430,Brister,Bubby,1905-05-15 00:00:00
431,Briscoe,Marlin,1905-04-28 00:00:00
432,Brisby,Vincent,1905-05-24 00:00:00
433,Brister,Willie,1905-05-05 00:00:00
434,Brittenum,Jon,1905-04-27 00:00:00
435,Broadnax,Jerry,1905-05-04 00:00:00
436,Brock,Dieter,1905-05-04 00:00:00
437,Brock,Fred,1905-05-27 00:00:00
438,Brockington,John,1905-05-01 00:00:00
439,Brodhead,Bob,1905-04-19 00:00:00
440,Brodnax,J.W.,1905-04-19 00:00:00
441,Brodie,John,1905-04-18 00:00:00
442,Brohm,Jeff,1905-05-24 00:00:00
443,Bronson,John,1905-06-22 00:00:00
444,Brooks,Aaron,1905-05-29 00:00:00
445,Brooks,Billy,1905-05-17 00:00:00
446,Brooks,Billy,1905-05-06 00:00:00
447,Brooks,Bob,1905-04-21 00:00:00
448,Brooks,James,1905-05-11 00:00:00
449,Brookins,Jason,1905-05-29 00:00:00
450,Brooks,Macey,1905-05-28 00:00:00
451,Brookins,Mitch,1905-05-13 00:00:00
452,Brooks,Reggie,1905-05-24 00:00:00
453,Brooks,Robert,1905-05-23 00:00:00
454,Broussard,Jamall,1905-06-03 00:00:00
455,Broughton,Luther,1905-05-27 00:00:00
456,Broughton,Nehemiah,1905-06-04 00:00:00
457,Broussard,Steve,1905-05-20 00:00:00
458,Brown,AB,1905-05-18 00:00:00
459,Brown,Allen,1905-04-26 00:00:00
460,Brown,Andre,1905-05-19 00:00:00
461,Brown,Antonio,1905-05-31 00:00:00
462,Brown,Anthony,1905-06-22 00:00:00
463,Brown,Art,1905-06-22 00:00:00
464,Brown,Barry,1905-04-26 00:00:00
465,Brown,Bill,1905-04-21 00:00:00
466,Brown,Bobby,1905-05-30 00:00:00
467,Brown,Boyd,1905-05-05 00:00:00
468,Brown,Bob,1905-04-26 00:00:00
469,Brown,Carlos,1905-05-05 00:00:00
470,Brown,Charlie,1905-05-11 00:00:00
471,Brown,Charlie,1905-05-01 00:00:00
472,Brown,Charlie,1905-04-28 00:00:00
473,Brown,Chris,1905-06-03 00:00:00
474,Brown,Curtis,1905-05-07 00:00:00
475,Brown,Dave,1905-05-23 00:00:00
476,Brown,Dante,1905-06-02 00:00:00
477,Brown,Derek,1905-05-23 00:00:00
478,Brown,Derek,1905-05-24 00:00:00
479,Brown,Dee,1905-05-31 00:00:00
480,Brown,Eddie,1905-05-15 00:00:00
481,Brown,Ed,1905-04-11 00:00:00
482,Brown,Fred,1905-04-21 00:00:00
483,Brown,Gary,1905-05-22 00:00:00
484,Brown,IvoryLee,1905-05-22 00:00:00
485,Brown,Jim,1905-04-19 00:00:00
486,Brown,Ken,1905-04-28 00:00:00
487,Brown,Larry,1905-05-02 00:00:00
488,Brown,Larry,1905-04-30 00:00:00
489,Brown,Na,1905-05-30 00:00:00
490,Brown,Reggie,1905-05-26 00:00:00
491,Brown,Reggie,1905-06-03 00:00:00
492,Brown,Rod,1905-05-27 00:00:00
493,Brown,Ron,1905-05-14 00:00:00
494,Brown,Ronnie,1905-06-03 00:00:00
495,Brown,Ted,1905-05-10 00:00:00
496,Brown,Theotis,1905-05-10 00:00:00
497,Brown,Tim,1905-05-19 00:00:00
498,Brown,Timmy,1905-04-20 00:00:00
499,Brown,Tom,1905-05-17 00:00:00
500,Brown,Tony,1905-06-03 00:00:00
501,Brown,Troy,1905-05-24 00:00:00
502,Brown,Travis,1905-05-30 00:00:00
503,Brown,Tyrone,1905-05-26 00:00:00
504,Brown,Willie,1905-04-25 00:00:00
505,Brubaker,Dick,1905-04-15 00:00:00
506,Bruce,Isaac,1905-05-25 00:00:00
507,Bruer,Bob,1905-05-06 00:00:00
508,Bruener,Mark,1905-05-25 00:00:00
509,Brunet,Bob,1905-04-29 00:00:00
510,Brunson,Larry,1905-05-02 00:00:00
511,Brunell,Mark,1905-05-23 00:00:00
512,Brunson,Mike,1905-04-30 00:00:00
513,Brunner,Scott,1905-05-10 00:00:00
514,Bryant,Antonio,1905-06-03 00:00:00
515,Bryant,Bob,1905-04-20 00:00:00
516,Bryant,Charlie,1905-04-24 00:00:00
517,Bryant,Cullen,1905-05-04 00:00:00
518,Bryant,Hubie,1905-04-29 00:00:00
519,Bryant,Kelvin,1905-05-13 00:00:00
520,Bryant,Romby,1905-06-01 00:00:00
521,Bryant,Steve,1905-05-12 00:00:00
522,Bryson,Shawn,1905-05-29 00:00:00
523,Buchanon,William,1905-06-05 00:00:00
524,Buckhalter,Correll,1905-05-31 00:00:00
525,Buckey,Don,1905-05-06 00:00:00
526,Buck,Mike,1905-05-20 00:00:00
527,Buckman,Tom,1905-04-30 00:00:00
528,Budd,Frank,1905-04-22 00:00:00
529,Buggs,Danny,1905-05-06 00:00:00
530,Buie,Drew,1905-04-30 00:00:00
531,Bukaty,Fred,1905-04-19 00:00:00
532,Bukich,Rudy,1905-04-15 00:00:00
533,Bulaich,Norm,1905-04-29 00:00:00
534,Bulger,Marc,1905-05-30 00:00:00
535,Bullocks,Amos,1905-04-22 00:00:00
536,Bull,Ronnie,1905-04-23 00:00:00
537,Bull,Scott,1905-05-06 00:00:00
538,Bunch,Jarrod,1905-05-21 00:00:00
539,Burbage,Cornell,1905-05-18 00:00:00
540,Burchfield,Don,1905-05-02 00:00:00
541,Burch,Jerry,1905-04-22 00:00:00
542,Burford,Chris,1905-04-21 00:00:00
543,Burk,Adrian,1905-04-10 00:00:00
544,Burkett,Chris,1905-05-15 00:00:00
545,Burke,John,1905-05-24 00:00:00
546,Burke,Randy,1905-05-08 00:00:00
547,Burks,Randy,1905-05-06 00:00:00
548,Burks,Steve,1905-05-06 00:00:00
549,Burke,Vern,1905-04-24 00:00:00
550,Burleson,Nate,1905-06-03 00:00:00
551,Burns,Bob,1905-05-05 00:00:00
552,Burnett,Bobby,1905-04-26 00:00:00
553,Burns,Joe,1905-06-01 00:00:00
554,Burns,Leon,1905-04-23 00:00:00
555,Burris,Henry,1905-05-28 00:00:00
556,Burrell,John,1905-04-23 00:00:00
557,Burrough,Ken,1905-05-01 00:00:00
558,Burrow,Ken,1905-05-01 00:00:00
559,Burrell,Ode,1905-04-22 00:00:00
560,Burress,Plaxico,1905-05-30 00:00:00
561,Burton,Larry,1905-05-04 00:00:00
562,Burton,Leon,1905-04-18 00:00:00
563,Burton,Ron,1905-04-19 00:00:00
564,Bush,Reggie,1905-06-07 00:00:00
565,Bush,Steve,1905-05-27 00:00:00
566,Bussey,Dexter,1905-05-05 00:00:00
567,Butler,Bill,1905-05-03 00:00:00
568,Butler,Cannonball,1905-04-26 00:00:00
569,Butler,Gary,1905-05-04 00:00:00
570,Butler,Jerry,1905-05-10 00:00:00
571,Butler,Ray,1905-05-09 00:00:00
572,Butts,Marion,1905-05-19 00:00:00
573,Byars,Keith,1905-05-16 00:00:00
574,Byner,Earnest,1905-05-15 00:00:00
575,Bynum,Kenny,1905-05-27 00:00:00
576,Byrd,Dominique,1905-06-06 00:00:00
577,Byrd,Isaac,1905-05-24 00:00:00
578,Byrum,Carl,1905-05-16 00:00:00
579,Cain,J.V.,1905-05-04 00:00:00
580,Cain,Lynn,1905-05-08 00:00:00
581,Caldwell,Reche,1905-06-01 00:00:00
